ID,Ploidy,Genotype
ABEY_034_18,2,ABEY_034_18
ABPZ_076_18,3,ABPZ_076_18
ABVE_221_18,3,ABVE_221_18
ACFL_031_18,3,ACFL_031_18
ACGNT01_497_18,3,ACGNT01
AEBVG_419_18,NA,NA
AFOG_113_18,3,AFOG_113_18
AGXLZ_327_18,3,AGXLZ
AHQT_229_18,3,AHQT_229_18
AHUK_131_18,NA,NA
AHYY_234_18,3,ABVE_221_18
AMYCG_281_18,3,AMYCG
AMYT_228_18,3,ABVE_221_18
APCV_068_18,3,APCV_068_18
APZE_187_18,NA,NA
AQPIX_387_18,3,AQPIX_387_18
AQXKL_473_18,2,AQXKL
AQZOX_354_18,3,AQZOX_354_18
ASIBO_454_18,3,ASIBO
ASMP_012_18,3,ASMP_012_18
ATDH_251_18,3,ABVE_221_18
ATQY_097_18,3,AHUK_131_18
AWUSD_479_18,2,AWUSD
AZIHK_424_18,3,AZIHK
AZLSF_347_18,3,AZLSF_347_18
BCNTS01_501_18,3,BCNTS01
BCOE_268_18,3,AHQT_229_18
BCSFE01_502_18,3,BCSFE01
BDGAP_445_18,3,BDGAP_445_18
BDRF_099_18,3,ABPZ_076_18
BFPMS_412_18,2,BFPMS
BJSRA01_487_18,3,BJSRA01
BJSRB01_488_18,2,BJSRB01
BJSRC01_489_18,3,BJSRC01
BLRZ_135_18,3,AFOG_113_18
BNXX_212_18,3,ABVE_221_18
BOZM_067_18,3,APCV_068_18
BRDPJ_308_18,3,BRDPJ
BS_503_18,2,BS
BUCDS_328_18,3,BUCDS_328_18
BVNP_102_18,3,AHUK_131_18
BWCM_079_18,3,ABPZ_076_18
BWRE_206_18,NA,NA
BXKLR_316_18,3,BXKLR_316_18
BYFM_035_18,2,ABEY_034_18
BYUQ_157_18,3,BYUQ_157_18
CAJTV_468_18,2,CAJTV_468_18
CAKME_401_18,2,CAKME
CAVWP_391_18,3,AQPIX_387_18
CBBE_241_18,3,ABVE_221_18
CBLGE01_442_18,3,CBLGE01
CC01_210_18,3,CC01_210_18
CCBAH01_366_18,3,CCBAH01
CCRWS01_372_18,2,CCRWS01
CCTOR01_417_18,2,CCTOR01
CCZV_252_18,3,ABVE_221_18
CEIC_244_18,3,ABVE_221_18
CFRID_474_18,2,CFRID
CHXQL_333_18,3,CHXQL
CJLAV_302_18,3,CJLAV_302_18
CLON_129_18,3,AHUK_131_18
CLVU_013_18,3,ACFL_031_18
CNXB_160_18,3,CNXB_160_18
CQMJX_361_18,3,CQMJX_361_18
CVHQZ_314_18,2,CVHQZ
CXBS_024_18,3,ASMP_012_18
CXPWZ_437_18,3,CXPWZ
CZNV_188_18,3,BYUQ_157_18
CZUE_196_18,3,CZUE_196_18
CZUO_104_18,3,AHUK_131_18
DAZIP_432_18,3,DAZIP
DBUZY_409_18,3,DBUZY_409_18
DCHZ_165_18,NA,NA
DCTAC01_459_18,3,DCTAC01
DDKJ_261_18,2,DDKJ_261_18
DEGLR_421_18,2,DEGLR
DEYR_233_18,3,ABVE_221_18
DFRLK_315_18,3,DFRLK
DFZI_211_18,3,ABVE_221_18
DKWBZ_351_18,3,DKWBZ_351_18
DNNZ_275_18,3,DNNZ_275_18
DNSQI_393_18,3,DNSQI_393_18
DPEXK_288_18,3,DPEXK
DRCAD01_374_18,2,DRCAD01
DRCBB01_381_18,3,DRCBB01
DRCRS01_378_18,2,DRCRS01
DRCSA01_290_18,3,DPEXK_288_18
DRMD_263_18,3,ABVE_221_18
DVNBJ_470_18,2,CAJTV_468_18
DWHUR_363_18,3,DWHUR
DWLFN_398_18,3,DWLFN_398_18
DWPM_028_18,3,ACFL_031_18
DXLWT_331_18,3,DXLWT_331_18
DXOR_215_18,3,ABVE_221_18
EBUVG_431_18,3,EBUVG
ECGX_202_18,3,CZUE_196_18
EECZ_240_18,3,ABVE_221_18
EFMD_057_18,3,EFMD_057_18
EFNK_125_18,3,AHUK_131_18
EHCTY_301_18,3,CJLAV_302_18
EIQV_174_18,3,CZUE_196_18
EKXF_207_18,3,CC01_210_18
EMSA_074_18,3,ABPZ_076_18
EOAU_052_18,3,EOAU_052_18
EQIB_084_18,3,ABPZ_076_18
ERNAK_477_18,2,ERNAK
EXFO_112_18,3,AFOG_113_18
EXIMR_309_18,3,EXIMR
EYFLW_485_18,2,EYFLW
FAMLP_364_18,3,FAMLP
FBFZ_279_18,3,FBFZ_279_18
FBPJG_388_18,3,AQPIX_387_18
FDHW_105_18,3,AFOG_113_18
FGWLJ_430_18,3,FGWLJ_430_18
FJCT_088_18,3,AFOG_113_18
FJPN_062_18,3,APCV_068_18
FLOA_182_18,3,FLOA_182_18
FLVQR_449_18,3,BDGAP_445_18
FOASS01_496_18,2,FOASS01
FOIQ_119_18,3,AHUK_131_18
FOOOT01_499_18,3,FOOOT01
FOWCL_345_18,3,AZLSF_347_18
FOZN_236_18,3,ABVE_221_18
FPLA_133_18,3,AHUK_131_18
FQPU_156_18,3,BYUQ_157_18
FSCP_280_18,3,FSCP_280_18
FSPC_078_18,3,ABPZ_076_18
FSUW_108_18,3,AFOG_113_18
FUCD_060_18,2,ABEY_034_18
FUVF_260_18,3,AHQT_229_18
FXBC_253_18,3,FXBC_253_18
FYSUQ_356_18,3,FYSUQ
FYXEJ_339_18,3,FYXEJ_339_18
FYZG_061_18,3,APCV_068_18
GAULT_461_18,NA,NA
GBAI_089_18,3,AFOG_113_18
GBNL_149_18,3,CNXB_160_18
GBNZ_195_18,3,CZUE_196_18
GCJEZ_466_18,3,GCJEZ_466_18
GDAOC01_283_18,3,GDAOC01_283_18
GHLPC_365_18,2,GHLPC
GITMZ_296_18,3,GITMZ
GJBOV_495_18,2,GJBOV
GJSO_203_18,3,CZUE_196_18
GKBH_069_18,3,GKBH_069_18
GKPW_134_18,NA,NA
GLQX_198_18,3,FLOA_182_18
GOPXK_334_18,3,GOPXK
GPDI_140_18,3,AFOG_113_18
GPLWN_436_18,3,GPLWN
GPOI_176_18,3,CZUE_196_18
GPQAO_447_18,3,GPQAO_447_18
GQCI_178_18,3,CZUE_196_18
GRFO_153_18,3,GRFO_153_18
GRJXK_404_18,3,GRJXK
GSNY_040_18,3,EFMD_057_18
GTWE_122_18,3,AHUK_131_18
GTZK_111_18,3,AFOG_113_18
GUWH_030_18,3,ACFL_031_18
GWUJ_083_18,3,GWUJ_083_18
GZBI_070_18,3,GKBH_069_18
HBJI_027_18,3,ACFL_031_18
HBPCJ_300_18,3,HBPCJ
HBTN_200_18,3,CC01_210_18
HDAZ_144_18,3,GRFO_153_18
HDWZP_416_18,2,HDWZP
HGCF_036_18,3,ASMP_012_18
HIRTE_306_18,3,HIRTE
HIXNG_413_18,3,HIXNG
HJHN_222_18,3,ABVE_221_18
HKIOP_323_18,2,HKIOP
HKXB_255_18,3,DNNZ_275_18
HLERZ_426_18,3,HLERZ_426_18
HNWA_050_18,3,ACFL_031_18
HOEC_003_18,3,ASMP_012_18
HQVA_072_18,3,ABPZ_076_18
HTPR_065_18,3,ACFL_031_18
HUDTN_491_18,NA,NA
HVDLX_343_18,3,BYUQ_157_18
HWIB_179_18,3,CZUE_196_18
HWJR_168_18,3,BYUQ_157_18
HXQLU_453_18,3,HXQLU_453_18
HYCJ_041_18,3,EFMD_057_18
HYSMR_346_18,3,AZLSF_347_18
HYXUD_433_18,2,HYXUD
IALXT_376_18,NA,NA
IAPK_002_18,3,ASMP_012_18
IDYAX_425_18,3,HLERZ_426_18
IGKFX_438_18,3,GPQAO_447_18
IHMK_159_18,3,CNXB_160_18
IHMZ_257_18,3,DNNZ_275_18
INWEG_423_18,3,INWEG
IOAQ_051_18,3,ACFL_031_18
IOREZ_335_18,3,IOREZ
IPNW_273_18,3,DNNZ_275_18
IRPK_220_18,3,ABVE_221_18
ITRF_146_18,3,GRFO_153_18
ITYM_114_18,3,AFOG_113_18
IUAK_029_18,3,ACFL_031_18
IVEZ_018_18,3,ASMP_012_18
IWZCV_291_18,2,IWZCV
JANM_201_18,3,CZUE_196_18
JBAY_124_18,3,AHUK_131_18
JCSAT_353_18,NA,NA
JGRD_095_18,3,AFOG_113_18
JIEQU_375_18,3,JIEQU
JIPRX_469_18,2,JIPRX
JNLXY_394_18,3,DNSQI_393_18
JOGHL_399_18,3,DNSQI_393_18
JOVV_264_18,3,DNNZ_275_18
JQFYC_368_18,3,JQFYC_368_18
JSAXZ_320_18,3,JSAXZ
JSIA_224_18,3,ABVE_221_18
JTTN_262_18,3,AHQT_229_18
JXHO_218_18,3,ABVE_221_18
JYWI_001_18,3,ASMP_012_18
KGSTM_367_18,3,KGSTM
KGWC_103_18,3,AHUK_131_18
KHMSF_311_18,2,KHMSF
KIFX_173_18,3,CZUE_196_18
KJORG_434_18,3,KJORG
KJZR_082_18,3,GWUJ_083_18
KLLJ_248_18,3,AHQT_229_18
KLNJA_397_18,2,KLNJA
KLVF_101_18,NA,NA
KLYD_247_18,3,AHQT_229_18
KLZG_141_18,2,KLZG
KNCV_106_18,3,AHUK_131_18
KNTIE_282_18,3,KNTIE
KQTMD_324_18,3,AFOG_113_18
KTDS_132_18,3,AHUK_131_18
KVEI_064_18,3,ACFL_031_18
KXAYQ_383_18,3,KXAYQ_383_18
KZXQJ_478_18,3,AQPIX_387_18
LCMG_217_18,3,ABVE_221_18
LEVO_042_18,3,EFMD_057_18
LGOK_110_18,3,AFOG_113_18
LGUH_148_18,3,GRFO_153_18
LHZH_225_18,3,ABVE_221_18
LIAHQ_382_18,3,LIAHQ
LLTM_256_18,3,DNNZ_275_18
LNCL_214_18,3,ABVE_221_18
LNEUS_462_18,2,LNEUS
LQDNH_294_18,2,LQDNH
LRPJC_451_18,3,LRPJC
LXOGB_494_18,3,LXOGB_494_18
MCBRM01_490_18,3,MCBRM01
MCBSA01_492_18,NA,NA
MCTH_128_18,3,AFOG_113_18
MEMNL01_341_18,3,MEMNL01_341_18
MEMRS01_330_18,2,MEMRS01
MGGT_237_18,3,ABVE_221_18
MGWO_020_18,2,ABEY_034_18
MINE_274_18,3,DNNZ_275_18
MJNG_181_18,3,FLOA_182_18
MJOL_045_18,2,ABEY_034_18
MKBID_385_18,3,MKBID
MKTPA_336_18,3,MKTPA_336_18
MNAQJ_322_18,2,MNAQJ
MPSY_137_18,3,AHUK_131_18
MRDK_205_18,3,CZUE_196_18
MRIND_465_18,2,MRIND
MTAFH_471_18,2,MTAFH
MTSH_183_18,3,CZUE_196_18
MVARN_287_18,3,MVARN
MWDV_208_18,3,AQZOX_354_18
NCIF_267_18,3,NCIF
NCKW_166_18,3,BYUQ_157_18
NCUB_116_18,3,AHUK_131_18
NDFU_009_18,3,ASMP_012_18
NGFS_185_18,3,CZUE_196_18
NGTWF_325_18,2,NGTWF
NIBED_379_18,3,NIBED
NISHT_284_18,3,GDAOC01_283_18
NIZOD_340_18,3,NIZOD
NJLM_098_18,3,ABPZ_076_18
NJQHM_377_18,NA,NA
NLDIZ_400_18,3,NLDIZ
NOLR_277_18,3,FBFZ_279_18
NOWZ_087_18,3,AHUK_131_18
NQCO_227_18,3,ABVE_221_18
NTPH_006_18,2,ABEY_034_18
NVYPC_350_18,3,DKWBZ_351_18
NVZC_100_18,3,ABPZ_076_18
NWDK_230_18,3,ABVE_221_18
NYHR_048_18,3,ACFL_031_18
NYXEO_463_18,3,AHQT_229_18
NZXV_059_18,NA,NA
OCLZ_152_18,3,GRFO_153_18
OELX_175_18,3,CZUE_196_18
OFCNI_410_18,3,BUCDS_328_18
OFMLA_414_18,3,OFMLA_414_18
OFSKE_427_18,2,OFSKE
OGJZR_396_18,3,DWLFN_398_18
OJKJ_265_18,3,DNNZ_275_18
OQGJ_049_18,3,ACFL_031_18
ORCR_269_18,3,FSCP_280_18
ORYUD_321_18,3,ORYUD
OUZLF_318_18,3,BXKLR_316_18
OVSI_046_18,3,ACFL_031_18
OXLK_164_18,3,CNXB_160_18
PAEU_130_18,3,AHUK_131_18
PDEJ_147_18,3,PDEJ
PEIZA_460_18,3,PEIZA
PEUNX_389_18,3,AQPIX_387_18
PFMU_115_18,3,AHUK_131_18
PGWE_063_18,3,ACFL_031_18
PGYU_192_18,3,CZUE_196_18
PHAK_276_18,2,PHAK
PHBY_143_18,3,CNXB_160_18
PHRAZ01_483_18,2,PHRAZ01_483_18
PIQW_109_18,3,AFOG_113_18
PJFV_033_18,3,ACFL_031_18
PLDO_270_18,3,ABVE_221_18
PMJV_092_18,3,AFOG_113_18
PMOQ_162_18,3,FLOA_182_18
PMRFH_289_18,3,PMRFH
PMSAQ_329_18,3,PMSAQ
PMSYA_319_18,3,PMSYA
PMVS_154_18,3,CZUE_196_18
POZDQ_326_18,2,POZDQ
PQFKD_443_18,3,GPQAO_447_18
PQFKJ_429_18,3,FGWLJ_430_18
PSASR01_480_18,2,PSASR01
PUGH_189_18,3,BYUQ_157_18
PWGSM_373_18,2,PWGSM
PYIAW_293_18,2,PYIAW
PYQB_039_18,NA,NA
QANL_163_18,3,CZUE_196_18
QAOMG_312_18,3,QAOMG_312_18
QCJZY_439_18,3,BDGAP_445_18
QEUOW_305_18,3,QEUOW_305_18
QGVH_053_18,2,ABEY_034_18
QJLKF_408_18,3,DBUZY_409_18
QJMO_117_18,3,AHUK_131_18
QPNX_266_18,3,AHQT_229_18
QREOK_337_18,3,MKTPA_336_18
QTUU_219_18,3,ABVE_221_18
QUFSK_418_18,3,AEBVG_419_18
QVPD_017_18,3,ASMP_012_18
QWRKZ_317_18,3,BXKLR_316_18
QWXMI_304_18,3,QWXMI
QZUBY_411_18,3,FGWLJ_430_18
RBEH_226_18,3,ABVE_221_18
RBGXO_292_18,3,RGBXO
RBOZM_444_18,3,RBOZM_444_18
REBO_150_18,3,CNXB_160_18
REVKF_338_18,3,FYXEJ_339_18
RFPU_169_18,3,GRFO_153_18
RGBOB01_498_18,3,RGBOB01
RIJS_213_18,3,ABVE_221_18
RIYH_245_18,3,FXBC_253_18
RJHT_022_18,2,ABEY_034_18
RJVEF_298_18,3,ASMP_012_18
RKOW_158_18,3,BYUQ_157_18
RLPJZ_450_18,2,RLPJZ
RNBV_038_18,3,EFMD_057_18
RNUV_010_18,3,ASMP_012_18
ROCQ_139_18,3,ROCQ_139_18
ROUBC_446_18,3,RBOZM_444_18
RRVT_242_18,3,ABVE_221_18
RSQQ_258_18,3,DNNZ_275_18
RSQXD_371_18,3,RSQXD
RTNIO_285_18,3,RTNIO
RVHAN_352_18,3,DKWBZ_351_18
RVLO_085_18,3,ABPZ_076_18
RXVF_127_18,3,AFOG_113_18
SACVG_457_18,3,SACVG_457_18
SAVZC_440_18,2,SAVZC
SBLHG_307_18,3,QEUOW_305_18
SBUFN_482_18,2,PHRAZ01_483_18
SCGN_073_18,3,ABPZ_076_18
SDIP_235_18,3,ABVE_221_18
SGBTF01_310_18,3,SGBTF01
SGDV_209_18,3,AQZOX_354_18
SGYC_186_18,3,FLOA_182_18
SIZB_037_18,3,EFMD_057_18
SJCTK_369_18,3,JQFYC_368_18
SJTZA_380_18,3,SJTZA
SLXGA_476_18,2,SLXGA
SMPAT_344_18,3,AZLSF_347_18
SNOUM_458_18,3,SNOUM
SQFKW_303_18,3,SQFKW
STYW_142_18,NA,NA
SWJFH_484_18,2,SWJFH
SWVK_005_18,3,ASMP_012_18
SYCQ_194_18,3,CZUE_196_18
SYID_047_18,3,ACFL_031_18
SZEE_250_18,3,AHQT_229_18
TAWMO_299_18,3,ASMP_012_18
TCRUF_362_18,2,TCRUF
TDMF_094_18,3,AFOG_113_18
TEWA_249_18,3,AHQT_229_18
TFBM_193_18,NA,NA
TFOM_011_18,3,ASMP_012_18
THWY_151_18,3,CNXB_160_18
TIRS_107_18,3,AFOG_113_18
TLNE_081_18,3,GWUJ_083_18
TLZOU_493_18,3,LXOGB_494_18
TMHA_167_18,3,BYUQ_157_18
TNCZA01_455_18,3,HXQLU_453_18
TNVQO_286_18,3,EOAU_052_18
TNVT_259_18,3,AHQT_229_18
TQEX_138_18,3,AFOG_113_18
TQFC_096_18,3,AFOG_113_18
TVNQ_054_18,3,TVNQ
TVPBW_392_18,3,DNSQI_393_18
TVWFM_332_18,3,DXLWT_331_18
TYHBE_472_18,3,TYHBE
TZVLB_348_18,3,AZLSF_347_18
UABX_071_18,3,ABPZ_076_18
UAOX_199_18,3,CC01_210_18
UEVW_043_18,3,EFMD_057_18
UEWA_008_18,3,ASMP_012_18
UGLU_272_18,3,DNNZ_275_18
UIHD_118_18,3,AHUK_131_18
UKFU_246_18,3,AHQT_229_18
UOSP_191_18,3,FLOA_182_18
UQRVS_359_18,3,DKWBZ_351_18
URIQ_015_18,NA,NA
URVL_075_18,3,ABPZ_076_18
USKNZ_475_18,2,USKNZ
UTDPY_452_18,2,UTDPY
UTEW_161_18,3,GRFO_153_18
UUME_254_18,3,DNNZ_275_18
UZBM_066_18,2,UZBM
VASW_136_18,3,AFOG_113_18
VBEZ_190_18,3,BYUQ_157_18
VBHJU_435_18,2,VBHJU
VCPBD_297_18,NA,NA
VGYN_090_18,3,AFOG_113_18
VHZF_016_18,3,ASMP_012_18
VIXK_243_18,3,ABVE_221_18
VNMA_123_18,3,AHUK_131_18
VOVY_238_18,3,ABVE_221_18
VPBI_044_18,2,ABEY_034_18
VRHL_204_18,3,CZUE_196_18
VRTK_077_18,3,ABPZ_076_18
VUDA_121_18,3,AHUK_131_18
WBVQI_500_18,2,WBVQI
WCPJH_405_18,3,WCPJH
WDZG_177_18,3,CZUE_196_18
WJMU_232_18,3,ABVE_221_18
WNBPS_456_18,3,SACVG_457_18
WPRLZ_406_18,2,WPRLZ
WSAG_180_18,3,FLOA_182_18
WSPFD01_486_18,2,WSPFD01
WURX_025_18,3,ASMP_012_18
WUTH_080_18,3,ABPZ_076_18
WYQSZ_422_18,2,WYQSZ
WZNO_023_18,2,ABEY_034_18
WZXQ_145_18,3,CNXB_160_18
XACC_216_18,3,ABVE_221_18
XAMES_349_18,3,AZLSF_347_18
XDYE_056_18,3,EFMD_057_18
XDZVI_357_18,2,XDZVI
XEHUD_481_18,2,XEHUD
XFZOW_420_18,3,AEBVG_419_18
XJOM_172_18,3,BYUQ_157_18
XKIT_171_18,3,BYUQ_157_18
XKMU_019_18,3,ASMP_012_18
XKPJS_403_18,3,XKPJS
XLFD_170_18,3,BYUQ_157_18
XMIC_086_18,3,ABPZ_076_18
XQWME_415_18,3,OFMLA_414_18
XTGPN_295_18,NA,NA
XTIA_126_18,3,AFOG_113_18
XUYFP_355_18,3,XUYFP
YABY_239_18,3,DNNZ_275_18
YAJIU_428_18,3,FGWLJ_430_18
YAOXG_358_18,3,AQZOX_354_18
YGUPJ_467_18,3,GCJEZ_466_18
YGVZ_278_18,3,FBFZ_279_18
YHGO_007_18,NA,NA
YIBK_055_18,3,EFMD_057_18
YISKQ_407_18,NA,NA
YMTS_021_18,NA,NA
YOAQZ_370_18,2,YOAQZ
YQTZ_155_18,3,BYUQ_157_18
YRLG_197_18,3,CZUE_196_18
YRQZ_184_18,3,CZUE_196_18
YWDO_120_18,3,AHUK_131_18
YWVO_014_18,3,ASMP_012_18
ZBVTF_395_18,2,ZBVTF
ZFMG_223_18,3,ABVE_221_18
ZGWEI_390_18,3,ZGWEI
ZHQF_004_18,3,ASMP_012_18
ZIJVQ_384_18,3,KXAYQ_383_18
ZINLH_386_18,3,ZINLH
ZJQRW_402_18,3,ZJQRW
ZJYP_032_18,3,ACFL_031_18
ZLQMG_441_18,3,ZLQMG
ZMCLX_313_18,3,QAOMG_312_18
ZMKM_271_18,3,DNNZ_275_18
ZRSPK_342_18,3,MEMNL01_341_18
ZTMR_091_18,3,AFOG_113_18
ZWKH_026_18,3,ASMP_012_18
ZWRP_231_18,3,ABVE_221_18
ZXAOC_464_18,2,ZXAOC
ZXLQ_058_18,3,APCV_068_18
ZXNOG_360_18,3,CQMJX_361_18
ZXSH_093_18,3,ROCQ_139_18
